sentence_idx	title	sentence	CSI	subject	object	sức mạnh	thiết kế	giá	tính năng	an toàn
383	none	trong khi đó , đèn sương_mù của 2 mẫu xe thể_thao này đều hạ thấp và tạo thành hốc gió riêng_biệt với công_nghệ led	1							
383	none	đáng chú_ý , xe sở_hữu màn_hình giải_trí kích_thước lớn và hiển_thị sắc nét hơn những gì mà toyota_vios gr - s_thể_hiện	1							
383	none	ở phía sau , cụm đồng_hồ của 2 mẫu xe này đều dạng analog , tuy_nhiên vios gr - s dạng màu đỏ thể_thao hơn và màn_hình tft 4,2 inch lớn hơn	1							
383	none	về trang_bị an_toàn , 2 mẫu xe này có những trang_bị gần tương_đương nhau , toyota_vios gr - s 2021 nhỉnh hơn nhờ hệ_thống kiểm_soát lực kéo và cảm_biến lùi	1							
220	none	bên phía đối_diện , kia sorento 2021 mới có bộ mâm nhỏ hơn 19 inch đi kèm bộ lốp 235 / 55r19 đến từ thương_hiệu michelin	1							
220	none	điểm cộng lớn nhất mà chúng_tôi ấn_tượng trên chiếc suv của hàn_quốc là bệ điều_khiển trung_tâm không còn cần số mà thay vào đó là núm xoay đậm chất xe địa_hình	1							
220	none	đây là một trong những điểm cộng lớn của sorento mới mà đối_thủ trực_tiếp vẫn chưa cải_thiện	1							
220	none	ở chiều ngược_lại , mẫu xe này cũng có hạn_chế khi một_số tính_năng hiện_đại bị cắt khi về việt_nam và mức giá khá cao so với thế_hệ cũ	1							
427	none	kia seltos premium 2021 ghi_điểm với người dùng nhờ phần ghế_ngồi rộng_rãi , đặc_biệt hàng ghế trước xe còn có tính_năng thông gió duy_nhất trong phân khúc	1							
197	none	nếu peugeot 2008 gt line 2021 được phát_triển theo phong_cách trẻ_trung , đậm chất châu âu thì toyota_corolla cross 1.8 v dù đã hiện_đại hơn những vẫn giữ được sự già_dặn vốn có của xe nhật	1							
197	none	bước ra phần đuôi , peugeot 2008 gt line có thiết_kế khá vạm_vỡ so với đầu và thân đúng phong_cách suv	1							
197	none	cặp_đèn hậu dạng led 3d tạo_hình móng vuốt sư_tử ấn_tượng hơn hẳn 3008 / 5008 đang bán ở việt_nam	1							
197	none	cụm đèn hậu led 3d nổi khổi mang đến sự nhận_diện tốt , nhưng đội_ngũ cảm_thấy thiết_kế này vẫn khá đơn_điệu so với 2008	1							
197	none	mặc_dù có trục cơ_sở ngắn hơn đối_thủ , nhưng chúng_tôi đánh_giá ghế_ngồi của peugeot 2008 2021 đủ rộng_rãi dành cho người việt	1							
197	none	trái_ngược với hệ_thống treo khá cứng của đối_thủ , toyota_corolla cross 1.8 v 2021 có phần treo tương_đối_mềm	1							
197	none	khi chạy trong phố , toyota_corolla cross có phần vô - lăng tương_đối nhẹ_nhàng , nhưng lên cao_tốc chạy với tốc_độ cao , tay_lái của cross chưa đủ đầm chắc như đối_thủ peugeot 2008	1							
191	none	mặc_dù thua về mặt công_nghệ , nhưng tính_năng đèn của mẫu mpv nhà toyota có phần vượt_trội hơn	1							
