sentence_idx	title	sentence	CSI	subject	object	sức mạnh	thiết kế	giá	tính năng	an toàn
220	So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng	điểm vượt_trội của sorento so với đối_thủ đến từ công_nghệ an_toàn	1	4&& 	7&& 	0	0	0	0	3
220	So sánh VinFast Lux SA2.0 2021 và Kia Sorento 2021: Lựa chọn nào trong tầm giá 1,5 tỷ đồng	trong khi đó , kia sorento 2021 là một chiếc xe trẻ_trung , nội_thất tiện_nghi , công_nghệ an_toàn dẫn_đầu và mang đến những trải nghiệm êm_ái cho người dùng	1	5&& 6&& 7&& 		0	0	0	0	3
442	So sánh xe MG ZS 2021 và Ford EcoSport 2021: "Tân binh" đủ sức thay thế "cựu vương"	trong khi đó , ford ecosport vẫn mang đến những tính_năng an_toàn khá cơ_bản nếu không muốn nói là thiếu khá nhiều so với đối_thủ	1	5&& 6&& 	25&& 	0	0	0	0	1
442	So sánh xe MG ZS 2021 và Ford EcoSport 2021: "Tân binh" đủ sức thay thế "cựu vương"	đặc_biệt , chiếc xe này có những công_nghệ an_toàn hàng_đầu phân khúc xứng_đáng là lựa_chọn đáng tiền ở thời_điểm hiện_tại	1	3&& 4&& 5&& 	11&& 12&& 	0	0	0	0	3
376	So sánh xe Honda CR-V 2020 và Subaru Forester 2020: Hai CUV ngập tràn công nghệ tại Việt Nam	nhờ đó , những chiếc xe subaru luôn được biết đến là an_toàn nhất thế_giới	1	7&& 	15&& 	0	0	0	0	3
376	So sánh xe Honda CR-V 2020 và Subaru Forester 2020: Hai CUV ngập tràn công nghệ tại Việt Nam	so với cr - v , đội_ngũ so_sánh xe chúng_tôi cảm_thấy an_toàn hơn với loạt tính_năng hỗ_trợ người lái thuộc gói an_toàn eyesight	1		3&& 4&& 5&& 	0	0	0	0	3
491	So sánh xe Mitsubishi Xpander 2020 và Suzuki XL7 2020: XL7 liệu có ngáng đường Xpander?	với những công_nghệ an_toàn được trang_bị , mitsubishi xpander 2020 đang tỏ ra vượt_trội hơn đối_thủ	1	8&& 9&& 10&& 	16&& 	0	0	0	0	3
359	So sánh xe Ford Everest 2021 và Mitsubishi Pajero Sport 2021: Chạy đua công nghệ an toàn	ford everest là mẫu xe đi đầu trong việc trang_bị những công_nghệ an_toàn tiên_tiến và hiện_đại nhất trong phân khúc suv 7 chỗ tại việt_nam từ 2 năm trước	1	1&& 2&& 	19&& 20&& 21&& 22&& 23&& 24&& 25&& 	0	0	0	0	3
359	So sánh xe Ford Everest 2021 và Mitsubishi Pajero Sport 2021: Chạy đua công nghệ an toàn	mitsubishi pajero sport 2021 mới được nâng_cấp với ngoại_hình trẻ_trung hơn và đặc_biệt là mẫu suv này giờ_đây đã đầy_ắp công_nghệ an_toàn so với chính phiên_bản tiền_nhiệm	1	1&& 2&& 3&& 4&& 	25&& 26&& 27&& 	0	0	0	0	3
432	So sánh xe Kia Sorento 2021 và Toyota Fortuner 2021: Đại chiến xe Hàn - Nhật	toyota_fortuner 2021 bổ_sung bản legender với ngoại_hình tươi mới , đặc_biệt chiếc xe này đã sở_hữu nhiều công_nghệ an_toàn hơn hẳn so với đời cũ	1	1&& 2&& 	24&& 25&& 	0	0	0	0	3
