sentence_idx	title	sentence	CSI	subject	object	sức mạnh	thiết kế	giá	tính năng	an toàn
383	So sánh xe Honda City RS 2021 và Toyota Vios GR-S 2021: Chọn xe sedan thể thao nào?	phong_cách thể_thao thể_hiện rõ trên mẫu xe này ngoài phần ngoại_hình trẻ_trung , nội_thất ấn_tượng và khả_năng vận_hành vượt_trội so với phân khúc	1			3	0	0	0	0
197	So sánh Peugeot 2008 GT Line 2021 và Toyota Corolla Cross 1.8V 20201: Hơn 800 triệu chọn xe nào?	xét về thông_số kích_thước , toyota_corolla cross rỏ ra hoàn_toàn vượt_trội so với đối_thủ và nhìn từ thân , chiếc xe đến từ nhật_bản cũng bề_thế hơn rõ_rệt	1			0	3	0	0	0
424	So sánh xe Kia Seltos 2020 và Suzuki XL7 2020: Giải quyết bài toán hơn 600 triệu mua xe gì?	suzuki xl7 2020 tương_tự có phần trần xe sơn đen và gương chiếu hậu tích_hợp dải led xi - nhan giống_hệt đối_thủ	1			0	2	0	0	0
482	So sánh xe Mitsubishi Pajero Sport 2020 và Toyota Fortuner 2020	nhìn từ thân xe , mitsubishi pajero sport 2020 tỏ rõ_vẻ bề_thế so với đối_thủ nhờ chiều dài vượt_trội , kèm theo đó là trục cơ_sở cũng tương_ứng , cụ_thể như sau : trên phiên_bản nâng_cấp , mitsubishi pajero sport 2020 được cung_cấp_bộ mâm mới_cứng_cáp và nam_tính hơn cùng kích_thước 18 inch	1			0	3	0	0	0
482	So sánh xe Mitsubishi Pajero Sport 2020 và Toyota Fortuner 2020	nhờ chiều dài trục cơ_sở lớn hơn đến 2.800 mm nên không_gian ghế_ngồi của mitsubishi pajero sport 2020 rộng_rãi hơn đối_thủ	1			0	3	0	0	0
375	So sánh xe Honda CR-V 2020 và Mitsubishi Outlander 2020: Đại chiến CUV tại Việt Nam	xét về giá bán , mitsubishi outlander 2020 đang có lợi_thế hơn , riêng phiên_bản cao_cấp nhất của mẫu xe này rẻ hơn đối_thủ đến 60 triệu đồng , cụ_thể như sau	1			0	0	3	0	0
375	So sánh xe Honda CR-V 2020 và Mitsubishi Outlander 2020: Đại chiến CUV tại Việt Nam	tương_tự , mitsubishi outlander cũng được cung_cấp " dàn chân " mới dạng phay bóng 2 màu hoàn_toàn mới cùng kích_thước 18 inch kết_hợp bộ lốp 225 / 55r18	1			0	2	0	0	0
522	So sánh xe Toyota Corolla Altis 2020 và Hyundai Elantra 2020: Xe Hàn giá rẻ hay xe Nhật giữ giá?	hyundai elantra 2020 có các thông_số gồm 4.620 x 1.800 x 1.450 ( mm ) tương_ứng chiều dài x rộng x cao và trục cơ_sở 2.700 mm như đối_thủ	1			0	2	0	0	0
423	So sánh xe Kia Seltos 2020 và Ford EcoSport 2020: "Ngôi vương" đổi chủ	để cải_thiện sự rộng_rãi bên trong khoang nội_thất , kia seltos 2020 sở_hữu những thông_số chiều rộng và trục cơ_sở ấn_tượng hơn đối_thủ , cùng với đó là khoảng sáng gầm xe tốt nhất phân khúc đến 190 mm	1			0	3	0	0	0
523	So sánh xe Toyota Corolla Altis 2020 và Kia Cerato 2020: Chọn xe gia đình nào?	về kích_thước , kia cerato 2020 đang tỏ ra chiếm ưu_thế hơn đối_thủ nhờ các thông_số tổng_thể tốt cụ_thể như sau :	1			0	3	0	0	0
523	So sánh xe Toyota Corolla Altis 2020 và Kia Cerato 2020: Chọn xe gia đình nào?	toyota_corolla altis 2020 có sự thay_đổi nhẹ ở phần đầu xe so với bản cũ để mang đến sự khác_biệt sau bản nâng_cấp gần nhất cách đây hơn 3 năm	1			0	2	0	0	0
523	So sánh xe Toyota Corolla Altis 2020 và Kia Cerato 2020: Chọn xe gia đình nào?	kia cerato 2020 cũng mang đến cho người dùng không_gian ghế_ngồi tương_tự với chiều dài trục cơ_sở bằng đối_thủ	1			0	2	0	0	0
523	So sánh xe Toyota Corolla Altis 2020 và Kia Cerato 2020: Chọn xe gia đình nào?	điểm_trừ đến từ giá bán vẫn còn cao , trong khi đó nâng_cấp quá ít so với phiên_bản cũ	1			0	0	1	0	0
494	So sánh xe Mitsubishi Xpander Cross 2020 và Suzuki XL7 2020: Đại chiến MPV lai SUV tại Việt Nam	tại thị_trường việt_nam , suzuki xl7 2020 là chiếc mpv lai suv sở_hữu mức giá rẻ nhất	1			0	0	3	0	0
