sentence_idx	sentence	CSI
383	phong_cách thể_thao thể_hiện rõ trên mẫu xe này ngoài phần ngoại_hình trẻ_trung , nội_thất ấn_tượng và khả_năng vận_hành vượt_trội so với phân khúc	1
383	không chịu kém_cạnh , toyota_vios gr - s 2021 cũng xuất_hiện để khiến đối_thủ không " cô_đơn " với diện_mạo bớt lành_tính và trở_nên " ngầu " hơn theo một_cách rất riêng	1
383	tuy_nhiên , bước sang bản facelift , toyota_vios gr - s 2021 cho thấy sự thay_đổi để bắt kịp xu_hướng tương_tự honda city rs đã làm với thiết_kế thể_thao , phóng_khoáng hơn	1
383	trong khi đó , đèn sương_mù của 2 mẫu xe thể_thao này đều hạ thấp và tạo thành hốc gió riêng_biệt với công_nghệ led	1
383	khi đặt cạnh nhau , honda city rs 2021 vượt_trội hơn nhờ sở_hữu thông_số kích_thước lớn hơn đối_thủ toyota_vios gr - s	1
383	ở phần đuôi , honda city rs sở_hữu cụm đèn hậu góc_cạnh hơn vẻ hiền_lành của toyota_vios gr - s 2021	1
383	là thế_hệ mới nên honda city rs có khoang nội_thất thay_đổi gần như hoàn_toàn so với " người tiền_nhiệm " theo xu_hướng hiện_đại hơn	1
383	đáng chú_ý , xe sở_hữu màn_hình giải_trí kích_thước lớn và hiển_thị sắc nét hơn những gì mà toyota_vios gr - s_thể_hiện	1
383	rõ_ràng , vô - lăng trên honda city rs hơn hẳn đối_thủ với thiết_kế dạng vát đáy , còn toyota_vios gr - s không khác_biệt so với bản thường ngoại_trừ đường chỉ khâu màu đỏ	1
383	ở phía sau , cụm đồng_hồ của 2 mẫu xe này đều dạng analog , tuy_nhiên vios gr - s dạng màu đỏ thể_thao hơn và màn_hình tft 4,2 inch lớn hơn	1
383	với chiều dài trục cơ_sở lớn , honda city rs 2021 là chiếc xe mang đến không_gian nội_thất rộng_rãi nhất cho người dùng	1
383	về trang_bị an_toàn , 2 mẫu xe này có những trang_bị gần tương_đương nhau , toyota_vios gr - s 2021 nhỉnh hơn nhờ hệ_thống kiểm_soát lực kéo và cảm_biến lùi	1
383	honda city 2021 hiện là mẫu xe mạnh_mẽ nhất phân khúc nhờ động_cơ 1.5 l dohc i - vtec 4 xy - lanh thẳng hàng tạo ra_công_suất 119 mã_lực tại 6.600 vòng / phút và mô - men xoắn cực_đại 145 nm tại 4.300 vòng / phút	1
383	đồng_thời , mẫu sedan cỡ nhỏ của honda hiện còn có động_cơ mạnh_mẽ nhất phân khúc và những trải nghiệm thực_sự ấn_tượng đối_với chúng_tôi	1
383	tuy_nhiên , mức giá cao hơn 31 triệu đồng so với đối_thủ sẽ là chi_tiết khiến nhiều băn_khoăn khi lựa_chọn	1
220	nhìn vào những thông_số kích_thước trên , vinfast lux sa2 . 0 đang nhỉnh hơn kia sorento về mọi chỉ_số , điều này giúp xe vạm_vỡ hơn khi nhìn từ phần thân	1
220	bên phía đối_diện , kia sorento 2021 mới có bộ mâm nhỏ hơn 19 inch đi kèm bộ lốp 235 / 55r19 đến từ thương_hiệu michelin	1
220	dáng_vẻ bệ_vệ được thể_hiện rõ ở phía sau đuôi xe vinfast lux sa2 . 0 nhờ thông_số kích_thước chiều cao và rộng đều lớn hơn đối_thủ	1
220	tuy_nhiên , với đội_ngũ so_sánh xe chúng_tôi , thiết_kế màn_hình xe cần thay_đổi bởi nó không thực_sự ấn_tượng như nhiều đối_thủ	1
220	điểm cộng lớn nhất mà chúng_tôi ấn_tượng trên chiếc suv của hàn_quốc là bệ điều_khiển trung_tâm không còn cần số mà thay vào đó là núm xoay đậm chất xe địa_hình	1
220	kia sorento 2021 có ghế trước chỉnh điện đa hướng , có chức_năng làm mát / sưởi ấm và đặc_biệt xe có nhớ 2 vị_trí ghế lái hơn hẳn đối_thủ	1
220	về trải nghiệm hàng ghế thứ 3 , theo cảm_nhận của chúng_tôi , kia sorento có phần rộng_rãi hơn vinfast lux sa2 . 0	1
